[8/6/23, 1:55:00 p. m.] Movimientos diarios: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Solo las personas en este chat pueden leerlos, escucharlos o compartirlos.
[8/6/23, 1:55:00 p. m.] Movimientos diarios: ‎Creaste este grupo.
‎[6/10/25, 2:21:25 p. m.] Guido Avios: 2025-10-06__CuotaN°_2_PréstamoN°_039100616231.pdf • ‎1 página ‎<adjunto: 00000682-2025-10-06__CuotaN°_2_PréstamoN°_039100616231.pdf>
‎[6/10/25, 3:23:25 p. m.] Guido Avios: moto ‎<adjunto: 00000683-PHOTO-2025-10-06-15-23-25.jpg>
‎[7/10/25, 12:09:00 p. m.] Guido Avios: pago metrogas ‎<adjunto: 00000684-PHOTO-2025-10-07-12-09-00.jpg>
[7/10/25, 12:59:23 p. m.] Guido Avios: ‎Se eliminó este mensaje.
‎[7/10/25, 1:43:07 p. m.] Guido Avios: pago a natalfim ‎<adjunto: 00000686-PHOTO-2025-10-07-13-43-07.jpg>
‎[8/10/25, 8:34:42 a. m.] Guido Avios: ‎<adjunto: 00000687-PHOTO-2025-10-08-08-34-42.jpg>
[8/10/25, 8:34:42 a. m.] Guido Avios: Alquiler facu 
‎[8/10/25, 9:09:58 a. m.] Guido Avios: ‎<adjunto: 00000689-PHOTO-2025-10-08-09-09-58.jpg>
[8/10/25, 9:09:58 a. m.] Guido Avios: Pago alquiler Rojas 
‎[8/10/25, 11:46:26 a. m.] Guido Avios: Comprobante_129109823232.pdf • ‎1 página ‎<adjunto: 00000691-Comprobante_129109823232.pdf>
[8/10/25, 11:46:30 a. m.] Guido Avios: pago alquiler facu
‎[8/10/25, 1:31:19 p. m.] Guido Avios: pago aysa ‎<adjunto: 00000693-PHOTO-2025-10-08-13-31-19.jpg>
[8/10/25, 4:23:02 p. m.] Guido Avios: carvi en efectivo 750.000
‎[9/10/25, 4:29:01 p. m.] Guido Avios: pago markplast ‎<adjunto: 00000695-PHOTO-2025-10-09-16-29-01.jpg>
‎[13/10/25, 10:27:05 a. m.] Facu: Nafta ‎<adjunto: 00000696-PHOTO-2025-10-13-10-27-05.jpg>
‎[13/10/25, 2:50:09 p. m.] Guido Avios: moto ‎<adjunto: 00000697-PHOTO-2025-10-13-14-50-09.jpg>
‎[13/10/25, 2:51:21 p. m.] Guido Avios: gastos ofi ‎<adjunto: 00000698-PHOTO-2025-10-13-14-51-21.jpg>
‎[13/10/25, 3:25:07 p. m.] Guido Avios: sueldo mile ‎<adjunto: 00000699-PHOTO-2025-10-13-15-25-07.jpg>
‎[14/10/25, 11:53:07 a. m.] Guido Avios: pago visa usd ‎<adjunto: 00000700-PHOTO-2025-10-14-11-53-07.jpg>
[14/10/25, 12:44:31 p. m.] Guido Avios: pago a printmax 300.000 en efectivo
[14/10/25, 12:47:48 p. m.] Facu: No pasaste achu y diego
‎[14/10/25, 12:48:29 p. m.] Guido Avios: ‎<adjunto: 00000703-PHOTO-2025-10-14-12-48-29.jpg>
[14/10/25, 12:48:29 p. m.] Guido Avios: diego flete
‎[14/10/25, 12:49:27 p. m.] Guido Avios: ‎<adjunto: 00000705-PHOTO-2025-10-14-12-49-27.jpg>
[14/10/25, 12:49:28 p. m.] Guido Avios: sueldo achu
‎[15/10/25, 9:52:41 a. m.] Guido Avios: ‎<adjunto: 00000707-PHOTO-2025-10-15-09-52-41.jpg>
[15/10/25, 9:52:41 a. m.] Guido Avios: Pago alquiler facu 
‎[15/10/25, 11:03:43 a. m.] Guido Avios: ‎<adjunto: 00000709-PHOTO-2025-10-15-11-03-43.jpg>
‎[15/10/25, 11:03:44 a. m.] Guido Avios: ‎<adjunto: 00000710-PHOTO-2025-10-15-11-03-44.jpg>
[15/10/25, 11:03:50 a. m.] Guido Avios: alquiler avios
‎[16/10/25, 3:27:55 p. m.] Guido Avios: ‎<adjunto: 00000712-PHOTO-2025-10-16-15-27-55.jpg>
[16/10/25, 3:27:55 p. m.] Guido Avios: Acuario 
‎[16/10/25, 3:41:00 p. m.] Guido Avios: acuario ‎<adjunto: 00000714-PHOTO-2025-10-16-15-41-00.jpg>
‎[16/10/25, 4:24:07 p. m.] Guido Avios: sueldo guille ‎<adjunto: 00000715-PHOTO-2025-10-16-16-24-07.jpg>
‎[17/10/25, 3:57:14 p. m.] Facu: Sueldo achu ‎<adjunto: 00000716-PHOTO-2025-10-17-15-57-14.jpg>
‎[17/10/25, 3:58:23 p. m.] Facu: Sueldo mile ‎<adjunto: 00000717-PHOTO-2025-10-17-15-58-23.jpg>
‎[17/10/25, 4:00:02 p. m.] Facu: Sueldo mercedes ‎<adjunto: 00000718-PHOTO-2025-10-17-16-00-02.jpg>
‎[17/10/25, 4:01:18 p. m.] Facu: Sueldo mati ‎<adjunto: 00000719-PHOTO-2025-10-17-16-01-18.jpg>
[17/10/25, 4:04:33 p. m.] Facu: Sueldo Guido
‎[17/10/25, 4:04:36 p. m.] Facu: ‎<adjunto: 00000721-PHOTO-2025-10-17-16-04-36.jpg>
‎[17/10/25, 4:08:38 p. m.] Facu: Sueldo facu ‎<adjunto: 00000722-PHOTO-2025-10-17-16-08-38.jpg>
‎[17/10/25, 4:13:56 p. m.] Guido Avios: 2025-10-17__CuotaN°_6_PréstamoN°_039100595253.pdf • ‎1 página ‎<adjunto: 00000723-2025-10-17__CuotaN°_6_PréstamoN°_039100595253.pdf>
‎[17/10/25, 4:15:48 p. m.] Guido Avios: documento (2).pdf • ‎2 páginas ‎<adjunto: 00000724-documento (2).pdf>
‎[17/10/25, 4:26:08 p. m.] Guido Avios: pago full etiquetas ‎<adjunto: 00000725-PHOTO-2025-10-17-16-26-08.jpg>
‎[17/10/25, 4:31:34 p. m.] Facu: Sueldo mile ‎<adjunto: 00000726-PHOTO-2025-10-17-16-31-34.jpg>
‎[17/10/25, 4:34:35 p. m.] Facu: Comisiones guille ‎<adjunto: 00000727-PHOTO-2025-10-17-16-34-35.jpg>
‎[17/10/25, 4:36:06 p. m.] Facu: Printmax ‎<adjunto: 00000728-PHOTO-2025-10-17-16-36-06.jpg>
‎[17/10/25, 4:40:00 p. m.] Guido Avios: pago visa pesos ‎<adjunto: 00000729-PHOTO-2025-10-17-16-40-00.jpg>
‎[17/10/25, 4:40:46 p. m.] Guido Avios: pago amex visa ‎<adjunto: 00000730-PHOTO-2025-10-17-16-40-46.jpg>
‎[17/10/25, 4:46:39 p. m.] Facu: ‎<adjunto: 00000731-PHOTO-2025-10-17-16-46-39.jpg>
‎[17/10/25, 4:47:42 p. m.] Facu: Alquiler avios ‎<adjunto: 00000732-PHOTO-2025-10-17-16-47-42.jpg>
[17/10/25, 4:47:50 p. m.] Facu: Markplast
‎[17/10/25, 4:52:18 p. m.] Guido Avios: Acuario ‎<adjunto: 00000734-PHOTO-2025-10-17-16-52-18.jpg>
[20/10/25, 10:33:12 a. m.] Guido Avios: pago 600.000 en efectivo para kirplastic
‎[21/10/25, 12:17:49 p. m.] Guido Avios: pago natalfim ‎<adjunto: 00000736-PHOTO-2025-10-21-12-17-49.jpg>
‎[21/10/25, 12:43:29 p. m.] Guido Avios: ‎<adjunto: 00000737-PHOTO-2025-10-21-12-43-29.jpg>
[21/10/25, 12:43:29 p. m.] Guido Avios: Flete 
[21/10/25, 1:03:38 p. m.] Guido Avios: carvi $500.000
[21/10/25, 1:03:50 p. m.] Guido Avios: Acuario $300.000
[21/10/25, 1:11:37 p. m.] Facu: + chq
‎[21/10/25, 1:12:44 p. m.] Guido Avios: ‎<adjunto: 00000742-STICKER-2025-10-21-13-12-44.webp>
‎[21/10/25, 1:31:11 p. m.] Guido Avios: ‎<adjunto: 00000743-PHOTO-2025-10-21-13-31-11.jpg>
‎[21/10/25, 1:31:11 p. m.] Guido Avios: ‎<adjunto: 00000744-PHOTO-2025-10-21-13-31-11.jpg>
[21/10/25, 1:31:14 p. m.] Guido Avios: alquiler avios
[24/10/25, 3:10:18 p. m.] Facu: Transferirle 300 a acuario y 300 a markplast
‎[24/10/25, 3:10:30 p. m.] Facu: ‎<adjunto: 00000747-PHOTO-2025-10-24-15-10-30.jpg>
‎[24/10/25, 3:10:30 p. m.] Facu: ‎<adjunto: 00000748-PHOTO-2025-10-24-15-10-30.jpg>
‎[24/10/25, 3:10:30 p. m.] Facu: ‎<adjunto: 00000749-PHOTO-2025-10-24-15-10-30.jpg>
‎[24/10/25, 3:10:30 p. m.] Facu: ‎<adjunto: 00000750-PHOTO-2025-10-24-15-10-30.jpg>
‎[24/10/25, 3:10:30 p. m.] Facu: ‎<adjunto: 00000751-PHOTO-2025-10-24-15-10-30.jpg>
[24/10/25, 3:10:30 p. m.] Facu: Cuentas acuario
[24/10/25, 3:10:59 p. m.] Guido Avios: cualquiera de esas cuentas ?
[24/10/25, 3:11:14 p. m.] Facu: See
[24/10/25, 3:11:16 p. m.] Facu: Guardalas
‎[27/10/25, 10:21:50 a. m.] Guido Avios: ‎<adjunto: 00000756-PHOTO-2025-10-27-10-21-50.jpg>
[27/10/25, 10:21:50 a. m.] Guido Avios: braian
‎[27/10/25, 10:21:59 a. m.] Guido Avios: ‎<adjunto: 00000758-PHOTO-2025-10-27-10-21-59.jpg>
[27/10/25, 10:21:59 a. m.] Guido Avios: acuario
‎[27/10/25, 10:23:17 a. m.] Guido Avios: ‎<adjunto: 00000760-PHOTO-2025-10-27-10-23-17.jpg>
[27/10/25, 10:23:18 a. m.] Guido Avios: Markplast
‎[27/10/25, 2:53:11 p. m.] Facu: ‎imagen omitida
[27/10/25, 2:53:39 p. m.] Guido Avios: Hdp la mandaste en 1
[27/10/25, 2:53:45 p. m.] Guido Avios: Y no pude sacar screen
‎[28/10/25, 10:39:01 a. m.] Guido Avios: moto ‎<adjunto: 00000765-PHOTO-2025-10-28-10-39-01.jpg>
‎[28/10/25, 10:40:32 a. m.] Guido Avios: caro ‎<adjunto: 00000766-PHOTO-2025-10-28-10-40-32.jpg>
‎[28/10/25, 10:46:39 a. m.] Guido Avios: alquiler facu ‎<adjunto: 00000767-PHOTO-2025-10-28-10-46-39.jpg>
‎[28/10/25, 11:10:05 a. m.] Guido Avios: Acuario + 300.000 en efectivo ‎<adjunto: 00000768-PHOTO-2025-10-28-11-10-05.jpg>
‎[28/10/25, 3:20:40 p. m.] Guido Avios: pago a chelo ‎<adjunto: 00000769-PHOTO-2025-10-28-15-20-40.jpg>
[29/10/25, 4:04:29 p. m.] Facu: Brian 200k en efectivo le mandamos mañana
[29/10/25, 4:05:05 p. m.] Facu: Kirplastic 1200k en efectivo sacarle. Ahi va el chq rechazado tamb ‎<Se editó este mensaje.>
[29/10/25, 4:05:48 p. m.] Facu: Labels 800k efectivo
[29/10/25, 4:05:58 p. m.] Facu: Ecoflex 300k efectivo
[29/10/25, 4:07:03 p. m.] Facu: 2 chqs manki y ic sumar al pago de acuario
[29/10/25, 4:08:42 p. m.] Facu: Cristini.marcelo
[29/10/25, 4:08:42 p. m.] Facu: roxyplast 218.840
[29/10/25, 4:08:49 p. m.] Facu: + natalfilm
‎[29/10/25, 4:14:53 p. m.] Guido Avios: echeque natalfim ‎<adjunto: 00000778-PHOTO-2025-10-29-16-14-53.jpg>
[30/10/25, 9:47:52 a. m.] Facu: Me confirmas el total de acuario asi lo llamo
‎[30/10/25, 9:49:31 a. m.] Guido Avios: ivess ‎<adjunto: 00000780-PHOTO-2025-10-30-09-49-31.jpg>
[30/10/25, 9:51:34 a. m.] Guido Avios: ‎Se eliminó este mensaje.
‎[30/10/25, 9:58:40 a. m.] Guido Avios: roxyplast ‎<adjunto: 00000782-PHOTO-2025-10-30-09-58-40.jpg>
[30/10/25, 10:02:55 a. m.] Facu: Cuanto es mas lo del otro dia??
[30/10/25, 10:02:56 a. m.] Facu: Totall
[30/10/25, 10:03:21 a. m.] Facu: Le cMbias el del 30 de noviembre x los dos de finger????
[30/10/25, 10:03:26 a. m.] Facu: Guardalo el del 30 de noviembre
[30/10/25, 10:03:30 a. m.] Facu: La semana que viene es oro
‎[30/10/25, 10:08:09 a. m.] Guido Avios: Pago acuario ‎<adjunto: 00000788-PHOTO-2025-10-30-10-08-09.jpg>
‎[30/10/25, 2:05:58 p. m.] Guido Avios: Comprobante_8283882.pdf • ‎1 página ‎<adjunto: 00000789-Comprobante_8283882.pdf>
[30/10/25, 2:36:15 p. m.] Guido Avios: Labels desing 800k
[30/10/25, 4:28:21 p. m.] Guido Avios: kirplastic 1.200
‎[3/11/25, 9:41:17 a. m.] Facu: Nafta ‎<adjunto: 00000792-PHOTO-2025-11-03-09-41-17.jpg>
‎[4/11/25, 9:49:39 a. m.] Guido Avios: 761876 _ 00147177504112025094904.pdf • ‎1 página ‎<adjunto: 00000793-761876 _ 00147177504112025094904.pdf>
‎[5/11/25, 11:37:29 a. m.] Guido Avios: ‎<adjunto: 00000794-PHOTO-2025-11-05-11-37-29.jpg>
[5/11/25, 11:37:29 a. m.] Guido Avios: devolución al cliente
[6/11/25, 12:20:41 p. m.] Guido Avios: carvi 300k en efectivo
‎[7/11/25, 2:11:04 p. m.] Guido Avios: pago tarjeta de crédito visa en dolares ‎<adjunto: 00000797-PHOTO-2025-11-07-14-11-04.jpg>
‎[7/11/25, 4:13:51 p. m.] Facu: ‎<adjunto: 00000798-PHOTO-2025-11-07-16-13-51.jpg>
‎[7/11/25, 4:14:33 p. m.] Facu: ‎<adjunto: 00000799-PHOTO-2025-11-07-16-14-33.jpg>
‎[7/11/25, 4:15:33 p. m.] Facu: ‎<adjunto: 00000800-PHOTO-2025-11-07-16-15-33.jpg>
‎[7/11/25, 4:16:09 p. m.] Facu: ‎<adjunto: 00000801-PHOTO-2025-11-07-16-16-09.jpg>
‎[7/11/25, 4:16:37 p. m.] Facu: ‎<adjunto: 00000802-PHOTO-2025-11-07-16-16-37.jpg>
‎[7/11/25, 4:17:13 p. m.] Facu: ‎<adjunto: 00000803-PHOTO-2025-11-07-16-17-13.jpg>
‎[10/11/25, 8:31:42 a. m.] Facu: Nos cobraron un credito del santander ‎<adjunto: 00000804-PHOTO-2025-11-10-08-31-42.jpg>
[10/11/25, 4:55:11 p. m.] Facu: Carvi $1.000.000
[10/11/25, 4:55:32 p. m.] Facu: Natalfim chq 1976+1977
+ $1.200.000
‎[11/11/25, 11:07:30 a. m.] Facu: Nafta ‎<adjunto: 00000807-PHOTO-2025-11-11-11-07-30.jpg>
‎[14/11/25, 9:09:34 a. m.] Facu: Captura de Pantalla 2025-11-14 a la(s) 09.08.39.png ‎<adjunto: 00000808-Captura de Pantalla 2025-11-14 a la(s) 09.08.39.png>
[14/11/25, 9:09:34 a. m.] Facu: echeq paea natafliglm
‎[14/11/25, 9:10:35 a. m.] Facu: ‎<adjunto: 00000810-PHOTO-2025-11-14-09-10-35.jpg>
[14/11/25, 9:10:35 a. m.] Facu: Estos van para natalfilm. Separarlos que los buscan hoy
[14/11/25, 10:12:46 a. m.] Guido Avios: flete $ 132.000
[14/11/25, 10:13:00 a. m.] Guido Avios: Alfiler $35.700
[14/11/25, 10:13:15 a. m.] Guido Avios: Hilos $89.100 

pagos.casacarlitos
[14/11/25, 10:15:25 a. m.] Facu: Separas efectuvo?
‎[14/11/25, 10:16:01 a. m.] Facu: Aca aca aca flete ‎<adjunto: 00000816-PHOTO-2025-11-14-10-16-01.jpg>
‎[14/11/25, 10:17:03 a. m.] Facu: Hilos ‎<adjunto: 00000817-PHOTO-2025-11-14-10-17-03.jpg>
[14/11/25, 11:50:13 a. m.] Guido Avios: carvi 100.000
[14/11/25, 11:56:09 a. m.] Facu: Te falto un cero amigo
‎[14/11/25, 2:00:46 p. m.] Facu: ‎<adjunto: 00000820-PHOTO-2025-11-14-14-00-46.jpg>
[14/11/25, 2:00:46 p. m.] Facu: echeq a acuario

‎[14/11/25, 2:01:05 p. m.] Facu: ‎<adjunto: 00000822-PHOTO-2025-11-14-14-01-05.jpg>
[14/11/25, 2:01:05 p. m.] Facu: cheque para acuario
‎[14/11/25, 2:49:18 p. m.] Guido Avios: sueldo mercedes ‎<adjunto: 00000824-PHOTO-2025-11-14-14-49-18.jpg>
‎[14/11/25, 2:51:01 p. m.] Guido Avios: ‎<adjunto: 00000825-PHOTO-2025-11-14-14-51-01.jpg>
[14/11/25, 2:51:03 p. m.] Guido Avios: sueldo Mile
‎[14/11/25, 2:52:13 p. m.] Guido Avios: sueldo achu ‎<adjunto: 00000827-PHOTO-2025-11-14-14-52-13.jpg>
‎[14/11/25, 2:53:05 p. m.] Guido Avios: sueldo guido ‎<adjunto: 00000828-PHOTO-2025-11-14-14-53-05.jpg>
‎[15/11/25, 3:13:26 p. m.] Facu: ‎<adjunto: 00000829-PHOTO-2025-11-15-15-13-26.jpg>
[15/11/25, 3:13:26 p. m.] Facu: Le pague a brian
‎[15/11/25, 3:21:12 p. m.] Facu: ‎<adjunto: 00000831-PHOTO-2025-11-15-15-21-11.jpg>
[15/11/25, 3:21:12 p. m.] Facu: Pagamos a acuario
‎[15/11/25, 3:21:23 p. m.] Facu: ‎<adjunto: 00000833-PHOTO-2025-11-15-15-21-23.jpg>
[15/11/25, 3:21:23 p. m.] Facu: Pagamos a markplast
‎[19/11/25, 4:03:27 p. m.] Facu: ‎<adjunto: 00000835-PHOTO-2025-11-19-16-03-27.jpg>
[19/11/25, 4:03:27 p. m.] Facu: Le pague a acuario
‎[20/11/25, 9:22:29 a. m.] Facu: Polimeros ‎<adjunto: 00000837-PHOTO-2025-11-20-09-22-29.jpg>
‎[20/11/25, 9:23:22 a. m.] Facu: Sueldo Mile ‎<adjunto: 00000838-PHOTO-2025-11-20-09-23-22.jpg>
‎[20/11/25, 1:08:30 p. m.] Facu: Guido ‎<adjunto: 00000839-PHOTO-2025-11-20-13-08-30.jpg>
‎[20/11/25, 1:09:03 p. m.] Facu: Caiu ‎<adjunto: 00000840-PHOTO-2025-11-20-13-09-03.jpg>
‎[20/11/25, 1:09:34 p. m.] Facu: Achu ‎<adjunto: 00000841-PHOTO-2025-11-20-13-09-34.jpg>
‎[20/11/25, 1:10:07 p. m.] Facu: Mati ‎<adjunto: 00000842-PHOTO-2025-11-20-13-10-07.jpg>
‎[20/11/25, 1:11:35 p. m.] Facu: Alquiler octubre oficina ‎<adjunto: 00000843-PHOTO-2025-11-20-13-11-35.jpg>
‎[20/11/25, 1:25:25 p. m.] Facu: Alquiler Facu ‎<adjunto: 00000844-PHOTO-2025-11-20-13-25-25.jpg>
‎[20/11/25, 1:30:13 p. m.] Facu: ‎<adjunto: 00000845-PHOTO-2025-11-20-13-30-13.jpg>
‎[20/11/25, 1:30:13 p. m.] Facu: ‎<adjunto: 00000846-PHOTO-2025-11-20-13-30-13.jpg>
‎[20/11/25, 1:30:13 p. m.] Facu: ‎<adjunto: 00000847-PHOTO-2025-11-20-13-30-13.jpg>
[20/11/25, 1:30:13 p. m.] Facu: Pagos a Natalfilm
‎[20/11/25, 1:55:26 p. m.] Achu: Nafta ‎<adjunto: 00000849-PHOTO-2025-11-20-13-55-26.jpg>
‎[20/11/25, 2:15:25 p. m.] Facu: Nafta ‎<adjunto: 00000850-PHOTO-2025-11-20-14-15-25.jpg>
‎[20/11/25, 2:22:01 p. m.] Facu: Mati ‎<adjunto: 00000851-PHOTO-2025-11-20-14-22-01.jpg>
‎[20/11/25, 2:51:59 p. m.] Facu: ‎<adjunto: 00000852-PHOTO-2025-11-20-14-51-59.jpg>
‎[20/11/25, 2:51:59 p. m.] Facu: ‎<adjunto: 00000853-PHOTO-2025-11-20-14-51-59.jpg>
[20/11/25, 2:51:59 p. m.] Facu: Afip
[20/11/25, 6:05:01 p. m.] Facu: Chq 1981 para acuario
‎[21/11/25, 10:58:14 a. m.] Facu: Markplast ‎<adjunto: 00000856-PHOTO-2025-11-21-10-58-14.jpg>
‎[21/11/25, 3:00:54 p. m.] Facu: Nico badanas pago ‎<adjunto: 00000857-PHOTO-2025-11-21-15-00-54.jpg>
‎[24/11/25, 7:09:41 p. m.] Facu: ‎<adjunto: 00000858-PHOTO-2025-11-24-19-09-41.jpg>
[24/11/25, 7:09:41 p. m.] Facu: Seña tallerplast
‎[25/11/25, 11:01:43 a. m.] Facu: Seña omar badanas ‎<adjunto: 00000860-PHOTO-2025-11-25-11-01-43.jpg>
[25/11/25, 3:16:35 p. m.] Guido Avios: carvi 1 millón
[25/11/25, 3:20:36 p. m.] Guido Avios: printmax 500k
‎[26/11/25, 1:58:38 p. m.] Facu: Este chq para acuario ‎<adjunto: 00000863-PHOTO-2025-11-26-13-58-38.jpg>
‎[26/11/25, 2:09:37 p. m.] Facu: ‎<adjunto: 00000864-PHOTO-2025-11-26-14-09-37.jpg>
‎[26/11/25, 2:10:27 p. m.] Facu: ‎<adjunto: 00000865-PHOTO-2025-11-26-14-10-27.jpg>
[26/11/25, 2:10:42 p. m.] Facu: Tranaferencia acuario
‎[27/11/25, 12:50:01 p. m.] Facu: ‎<adjunto: 00000867-PHOTO-2025-11-27-12-50-01.jpg>
[27/11/25, 12:50:01 p. m.] Facu: Alquiler facu
‎[27/11/25, 12:51:00 p. m.] Facu: Alquiler rojas ‎<adjunto: 00000869-PHOTO-2025-11-27-12-51-00.jpg>
‎[27/11/25, 12:53:14 p. m.] Facu: Polimeros ‎<adjunto: 00000870-PHOTO-2025-11-27-12-53-14.jpg>
‎[27/11/25, 12:54:52 p. m.] Facu: Nico badanas ‎<adjunto: 00000871-PHOTO-2025-11-27-12-54-52.jpg>
‎[27/11/25, 12:56:12 p. m.] Facu: Avios Lynch ‎<adjunto: 00000872-PHOTO-2025-11-27-12-56-12.jpg>
‎[27/11/25, 12:57:45 p. m.] Facu: Markplast ‎<adjunto: 00000873-PHOTO-2025-11-27-12-57-45.jpg>
‎[27/11/25, 1:00:06 p. m.] Facu: ‎<adjunto: 00000874-PHOTO-2025-11-27-13-00-06.jpg>
[27/11/25, 1:00:06 p. m.] Facu: Guido
‎[27/11/25, 1:00:52 p. m.] Facu: ‎<adjunto: 00000876-PHOTO-2025-11-27-13-00-52.jpg>
[27/11/25, 1:00:52 p. m.] Facu: Achu
‎[27/11/25, 1:01:46 p. m.] Facu: ‎<adjunto: 00000878-PHOTO-2025-11-27-13-01-46.jpg>
[27/11/25, 1:01:46 p. m.] Facu: Caiu
‎[27/11/25, 1:03:26 p. m.] Facu: Acuario ‎<adjunto: 00000880-PHOTO-2025-11-27-13-03-26.jpg>
‎[27/11/25, 1:04:00 p. m.] Facu: ‎<adjunto: 00000881-PHOTO-2025-11-27-13-04-00.jpg>
[27/11/25, 1:04:06 p. m.] Facu: Son dos a acuario
‎[27/11/25, 1:04:28 p. m.] Facu: ‎<adjunto: 00000883-PHOTO-2025-11-27-13-04-28.jpg>
[27/11/25, 1:04:28 p. m.] Facu: Mile
‎[27/11/25, 1:49:52 p. m.] Facu: Elben oagado en efectivo ‎<adjunto: 00000885-PHOTO-2025-11-27-13-49-52.jpg>
‎[27/11/25, 1:58:17 p. m.] Facu: ‎<adjunto: 00000886-PHOTO-2025-11-27-13-58-17.jpg>
[27/11/25, 1:58:17 p. m.] Facu: Natalfilm
‎[27/11/25, 3:32:15 p. m.] Facu: Seña devuelta kamet ‎<adjunto: 00000888-PHOTO-2025-11-27-15-32-15.jpg>
‎[27/11/25, 3:36:59 p. m.] Facu: Devolucion kamet ‎<adjunto: 00000889-PHOTO-2025-11-27-15-36-59.jpg>
‎[28/11/25, 12:12:23 p. m.] Facu: Natalfilm ‎<adjunto: 00000890-PHOTO-2025-11-28-12-12-23.jpg>
[1/12/25, 2:55:56 p. m.] Mati Tuscherr: ‎Añadiste a Mati Tuscherr.
‎[1/12/25, 2:56:05 p. m.] Facu: Nafta ‎<adjunto: 00000892-PHOTO-2025-12-01-14-56-05.jpg>
‎[1/12/25, 4:03:30 p. m.] Facu: Gastos oficina ‎<adjunto: 00000893-PHOTO-2025-12-01-16-03-30.jpg>
‎[1/12/25, 4:13:32 p. m.] Mati Tuscherr: cinta de embalaje x2 uni ‎<adjunto: 00000894-PHOTO-2025-12-01-16-13-32.jpg>
‎[1/12/25, 4:27:54 p. m.] Mati Tuscherr: impresion de rotulo de despacho ‎<adjunto: 00000895-PHOTO-2025-12-01-16-27-54.jpg>
‎[2/12/25, 11:07:54 a. m.] Mati Tuscherr: desodorante ambiental ‎<adjunto: 00000896-PHOTO-2025-12-02-11-07-54.jpg>
‎[3/12/25, 9:34:19 a. m.] Achu: Nafta ‎<adjunto: 00000897-PHOTO-2025-12-03-09-34-19.jpg>
‎[3/12/25, 3:53:30 p. m.] Facu: Le pague a brian ‎<adjunto: 00000898-PHOTO-2025-12-03-15-53-30.jpg>
‎[4/12/25, 9:43:37 a. m.] Facu: ‎<adjunto: 00000899-PHOTO-2025-12-04-09-43-37.jpg>
[4/12/25, 9:43:38 a. m.] Facu: le pague a natalfilm
‎[5/12/25, 10:14:37 a. m.] Facu: Mati ‎<adjunto: 00000901-PHOTO-2025-12-05-10-14-37.jpg>
‎[5/12/25, 10:15:10 a. m.] Facu: Mile ‎<adjunto: 00000902-PHOTO-2025-12-05-10-15-10.jpg>
‎[5/12/25, 10:15:35 a. m.] Facu: Achu ‎<adjunto: 00000903-PHOTO-2025-12-05-10-15-35.jpg>
‎[9/12/25, 6:03:20 p. m.] Facu: ‎<adjunto: 00000904-PHOTO-2025-12-09-18-03-20.jpg>
[9/12/25, 6:03:20 p. m.] Facu: Pago a omar badanas
‎[10/12/25, 9:22:58 a. m.] Facu: Flete ‎<adjunto: 00000906-PHOTO-2025-12-10-09-22-58.jpg>
‎[10/12/25, 4:03:39 p. m.] Facu: ‎<adjunto: 00000907-PHOTO-2025-12-10-16-03-39.jpg>
[10/12/25, 4:03:39 p. m.] Facu: Pago a printmax
‎[12/12/25, 1:32:03 p. m.] Facu: Printmax ‎<adjunto: 00000909-PHOTO-2025-12-12-13-32-03.jpg>
‎[12/12/25, 1:32:32 p. m.] Facu: Achu ‎<adjunto: 00000910-PHOTO-2025-12-12-13-32-32.jpg>
‎[12/12/25, 1:33:03 p. m.] Facu: Mati ‎<adjunto: 00000911-PHOTO-2025-12-12-13-33-03.jpg>
‎[12/12/25, 1:33:32 p. m.] Facu: Mile ‎<adjunto: 00000912-PHOTO-2025-12-12-13-33-32.jpg>
‎[12/12/25, 1:34:12 p. m.] Facu: Polimeros ‎<adjunto: 00000913-PHOTO-2025-12-12-13-34-12.jpg>
‎[12/12/25, 1:52:42 p. m.] Facu: Nico badanas ‎<adjunto: 00000914-PHOTO-2025-12-12-13-52-42.jpg>
‎[12/12/25, 1:53:39 p. m.] Facu: Brian ‎<adjunto: 00000915-PHOTO-2025-12-12-13-53-39.jpg>
‎[12/12/25, 1:56:16 p. m.] Facu: ‎<adjunto: 00000916-PHOTO-2025-12-12-13-56-16.jpg>
[12/12/25, 1:56:16 p. m.] Facu: Santi plastisoles
‎[12/12/25, 2:06:18 p. m.] Facu: Flete ‎<adjunto: 00000918-PHOTO-2025-12-12-14-06-18.jpg>
[12/12/25, 2:19:17 p. m.] Mati Tuscherr: No me figura en el sistema, esta con otro nombre?
[12/12/25, 2:43:09 p. m.] Facu: Nose si mile lo ingreso
[12/12/25, 2:43:12 p. m.] Facu: Le pregutnas(
‎[12/12/25, 3:33:20 p. m.] Facu: Guido ‎<adjunto: 00000922-PHOTO-2025-12-12-15-33-20.jpg>
‎[12/12/25, 3:33:44 p. m.] Facu: comprobante.pdf • ‎1 página ‎<adjunto: 00000923-comprobante.pdf>
‎[15/12/25, 8:34:38 a. m.] Facu: ‎<adjunto: 00000924-PHOTO-2025-12-15-08-34-38.jpg>
[15/12/25, 8:34:38 a. m.] Facu: Pago a markplast
‎[16/12/25, 6:32:19 p. m.] Facu: 2025_12_16_18_32_04_186_receipt.pdf • ‎1 página ‎<adjunto: 00000926-2025_12_16_18_32_04_186_receipt.pdf>
